,p:activation,p:batch_size,p:conv_type,p:dropout,p:hidden_size,p:lr,p:num_conv_layers,p:num_heads,p:num_mlp_layers,p:weight_decay,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather
122,elu,32,han,0.0,64,5.5672162577898896e-05,5,2,10,0.0,0.4574074074074074,0.5533865243026018,1.8000768423080444,120,11981.882620334623,12771.984534025192
123,tanh,256,han,0.0,64,0.0039027316578585,8,8,9,0.0,0.4574074074074074,0.5533865243026018,0.6880737543106079,126,12406.705950260162,12857.78451871872
124,tanh,64,han,0.1,64,0.0229332825049022,8,1,10,5e-05,0.4574074074074074,0.5533865243026018,0.6874805092811584,124,12318.473103046415,12949.60730433464
125,leakyrelu,16,hgt,0.0,32,0.003936809822885,4,1,7,0.0,0.6537037037037037,0.6264263295297879,1.3431423902511597,119,11980.488063097,13093.082848072052
126,sigmoid,32,hgt,0.0,256,0.0068783969550766,6,1,3,5e-05,0.6537037037037037,0.6264263295297879,0.6663222908973694,125,12377.739795446396,13101.407756328585
127,tanh,64,han,0.2,64,2.6654521759669604e-05,9,2,10,0.0001,0.8648148148148148,0.5,0.6946598291397095,129,12710.164976119995,13380.491064548492
128,relu,64,hgt,0.0,128,0.0033134123822653,2,1,9,0.0,0.8648148148148148,0.5,0.7072708010673523,130,12773.431851625444,13388.6602602005
129,elu,32,han,0.3,16,0.000201843684789,7,1,10,1e-05,0.4574074074074074,0.5533865243026018,0.6921584606170654,127,12595.212068080902,13412.101159095764
130,elu,64,hgt,0.0,64,0.0022836199718852,10,1,8,0.0,0.6240740740740741,0.6208530110586372,0.7534775137901306,131,12859.04148721695,13458.917614459991
131,elu,64,han,0.4,16,3.254509130409813e-05,5,2,10,5e-05,0.8648148148148148,0.5,0.6949672102928162,134,13102.563307762146,13745.481587648392
132,leakyrelu,64,han,0.4,32,1.3234078489861866e-05,7,2,10,5e-05,0.4574074074074074,0.5533865243026018,0.6924006938934326,133,13094.417627334597,13748.144625663756
133,sigmoid,32,han,0.5,64,1.8993070554407043e-05,5,2,10,0.0,0.8648148148148148,0.5,0.6928409934043884,132,12950.92972111702,13749.27705168724
134,leakyrelu,16,han,0.5,16,1.6930204555632065e-05,1,2,9,0.0001,0.4574074074074074,0.5533865243026018,1.3841770887374878,128,12680.882769584656,13844.11059641838
